Product_ID,Product_Name,Category,Brand,Price,Stock,Rating
101,Apple iPhone 15,Smartphones,Apple,999,50,4.8
102,Samsung Galaxy S23,Smartphones,Samsung,899,40,4.7
103,Google Pixel 7,Smartphones,Google,799,30,4.6
104,Dell XPS 15,Laptops,Dell,1499,25,4.5
105,MacBook Pro 14,Laptops,Apple,1999,20,4.9
106,HP Spectre x360,Laptops,HP,1299,30,4.4
107,PlayStation 5,Consoles,Sony,499,60,4.9
108,Xbox Series X,Consoles,Microsoft,499,55,4.8
109,Nintendo Switch OLED,Consoles,Nintendo,349,70,4.7
110,Sony WH-1000XM5,Headphones,Sony,399,100,4.8
111,Bose QuietComfort 45,Headphones,Bose,329,90,4.7
112,AirPods Pro 2,Headphones,Apple,249,120,4.8
113,Galaxy Buds 2 Pro,Headphones,Samsung,229,110,4.6
114,Cannon EOS R5,Cameras,Canon,3899,15,4.9
115,Nikon Z9,Cameras,Nikon,5499,10,4.8
116,Samsung 65" QLED TV,Televisions,Samsung,1199,25,4.7
117,LG C3 OLED 55",Televisions,LG,1399,20,4.8
118,Apple iPad Pro 12.9,Tablets,Apple,1099,35,4.7
119,Amazon Kindle Paperwhite,Tablets,Amazon,149,200,4.8
120,GoPro Hero 11,Cameras,GoPro,499,40,4.7
